region,case_number,case_id,method,expected_names
face,22,case022,SSOCT,"['SSOCT22', 'ssoct22', 'SSOCTface22', 'ssoctface22']"
face,22,case022,CycleGAN,"['cycleganface22', 'CycleGANface22', 'cyclegan22', 'CycleGAN22']"
face,22,case022,FUSRGAN,"['fusrganface22', 'FUSRGANface22', 'fusrgan22', 'FUSRGAN22']"
face,22,case022,OUR,"['ourface22', 'OURface22', 'our22', 'OUR22']"
face,22,case022,FFOCT,"['FFOCTface22', 'ffoctface22', 'FFOCT22', 'ffoct22']"
face,23,case023,SSOCT,"['SSOCT23', 'ssoct23', 'SSOCTface23', 'ssoctface23']"
face,23,case023,CycleGAN,"['cycleganface23', 'CycleGANface23', 'cyclegan23', 'CycleGAN23']"
face,23,case023,FUSRGAN,"['fusrganface23', 'FUSRGANface23', 'fusrgan23', 'FUSRGAN23']"
face,23,case023,OUR,"['ourface23', 'OURface23', 'our23', 'OUR23']"
face,23,case023,FFOCT,"['FFOCTface23', 'ffoctface23', 'FFOCT23', 'ffoct23']"
face,24,case024,SSOCT,"['SSOCT24', 'ssoct24', 'SSOCTface24', 'ssoctface24']"
face,24,case024,CycleGAN,"['cycleganface24', 'CycleGANface24', 'cyclegan24', 'CycleGAN24']"
face,24,case024,FUSRGAN,"['fusrganface24', 'FUSRGANface24', 'fusrgan24', 'FUSRGAN24']"
face,24,case024,OUR,"['ourface24', 'OURface24', 'our24', 'OUR24']"
face,24,case024,FFOCT,"['FFOCTface24', 'ffoctface24', 'FFOCT24', 'ffoct24']"
face,25,case025,SSOCT,"['SSOCT25', 'ssoct25', 'SSOCTface25', 'ssoctface25']"
face,25,case025,CycleGAN,"['cycleganface25', 'CycleGANface25', 'cyclegan25', 'CycleGAN25']"
face,25,case025,FUSRGAN,"['fusrganface25', 'FUSRGANface25', 'fusrgan25', 'FUSRGAN25']"
face,25,case025,OUR,"['ourface25', 'OURface25', 'our25', 'OUR25']"
face,25,case025,FFOCT,"['FFOCTface25', 'ffoctface25', 'FFOCT25', 'ffoct25']"
face,26,case026,SSOCT,"['SSOCT26', 'ssoct26', 'SSOCTface26', 'ssoctface26']"
face,26,case026,CycleGAN,"['cycleganface26', 'CycleGANface26', 'cyclegan26', 'CycleGAN26']"
face,26,case026,FUSRGAN,"['fusrganface26', 'FUSRGANface26', 'fusrgan26', 'FUSRGAN26']"
face,26,case026,OUR,"['ourface26', 'OURface26', 'our26', 'OUR26']"
